Timestamp,Direction,Vehicle Type,Total Count
2025-08-17 20:42:16,Outgoing,car,1
2025-08-17 20:42:16,Outgoing,truck,2
2025-08-17 20:42:21,Outgoing,car,3
2025-08-17 20:47:04,Incoming,car,1
2025-08-17 20:47:04,Outgoing,truck,1
2025-08-17 20:47:20,Incoming,car,2
2025-08-17 20:47:50,Incoming,car,3
2025-08-17 20:47:57,Outgoing,car,2
2025-08-17 20:48:05,Outgoing,car,3
2025-08-17 20:48:35,Incoming,car,4
2025-08-17 20:48:47,Outgoing,car,4
2025-08-17 20:48:59,Incoming,truck,5
2025-08-17 20:48:59,Incoming,car,6
2025-08-17 20:49:10,Incoming,car,7
2025-08-17 20:49:29,Incoming,car,8
2025-08-17 20:49:38,Incoming,car,9
2025-08-17 20:49:42,Incoming,car,10
2025-08-17 20:50:44,Outgoing,car,5
2025-08-17 20:51:07,Incoming,car,11
2025-08-17 20:51:14,Incoming,car,12
2025-08-17 20:51:51,Incoming,car,13
2025-08-17 20:52:32,Outgoing,bus,6
2025-08-17 20:52:56,Incoming,car,14
2025-08-17 20:52:58,Outgoing,truck,7
2025-08-17 20:53:29,Incoming,car,15
2025-08-17 20:53:35,Outgoing,truck,8
2025-08-17 20:53:55,Outgoing,car,9
2025-08-17 20:54:04,Outgoing,car,10
2025-08-17 20:54:14,Outgoing,car,11
2025-08-17 20:54:16,Outgoing,car,12
2025-08-17 20:54:16,Incoming,truck,16
2025-08-17 20:54:39,Outgoing,car,13
2025-08-17 20:55:11,Incoming,car,17
